,Shop_Name,Address,Latitude,Longitude,Rating,Borough,Property_Value_2017,Earnings_2021
226,Archive Six,"5 Calvert Ave, London",51.5264278,-0.0761304,4.2877224199288255,Tower Hamlets,475000.0,680.3
227,Vintage store,"148 Brick Ln, London",51.5213356,-0.0716821,4.2877224199288255,Tower Hamlets,475000.0,680.3
228,Vintage Heaven,"82 Columbia Rd, London",51.5284208,-0.0709091999999999,4.5,Tower Hamlets,475000.0,680.3
229,Bread and Butter Collection,"72 Rivington St, London",51.5261211,-0.0792861,5.0,Hackney,530000.0,575.1
230,British Vintage,"City Rd, London",51.5291548,-0.0951801999999999,4.2877224199288255,Islington,625000.0,665.6
231,Beyond Retro Dalston,"92-100 Stoke Newington Rd, London",51.5533702,-0.0746013,4.5,Hackney,530000.0,575.1
232,Mero Retro,"2 Bradbury St, London",51.5486303,-0.0758307,5.0,Hackney,530000.0,575.1
233,PEZZE,"17 Amhurst Terrace, London",51.5547934,-0.0672697999999999,5.0,Hackney,530000.0,575.1
234,twos,"258 Hackney Rd, London",51.53086829999999,-0.0693802999999999,5.0,Tower Hamlets,475000.0,680.3
235,London Fashion Vintage Fair,"73 Stoke Newington Church St, London",51.5620906,-0.0773046999999999,4.0,Hackney,530000.0,575.1
236,Reign Vintage,"166-168 Stoke Newington High St, London",51.5614461,-0.0735825,4.3,Hackney,530000.0,575.1
237,Forgotten Tales Vintage,"9a Cazenove Rd, London",51.5642296,-0.0723471,4.2877224199288255,Hackney,530000.0,575.1
238,Retro Arena,"32 Mildmay Grove S, London",51.5485321,-0.0853227,5.0,Islington,625000.0,665.6
239,2 & 4 Vintage Furniture,"2-4 Southgate Rd, London",51.5377476,-0.0861846,4.4,Hackney,530000.0,575.1
240,Retro Hub N16,"Retro Hub N16, 2 Marton Rd, London",51.5617963,-0.0802821,4.4,Hackney,530000.0,575.1
241,Blighty Militaria,"Flat C, 8-10 Ferntower Rd, London",51.5512446,-0.0866827,5.0,Islington,625000.0,665.6
242,Storm in a Teacup,"366 Kingsland Rd, London",51.5405416,-0.0762495,4.6,Hackney,530000.0,575.1
243,One Scoop Store,"101 Stoke Newington High St, London",51.55990329999999,-0.0741752,4.8,Hackney,530000.0,575.1
244,Furuki Yo-Kimono Vintage,"London, Pod15 21-31 Shacklewell Lane, Dalston",51.5512149,-0.0733721,5.0,Hackney,530000.0,575.1
245,Committee of Taste,"3a Evering Rd, London",51.5573029,-0.0737305,4.7,Hackney,530000.0,575.1
246,Corr Vintage Watches,"32 Walford Rd, London",51.5560002,-0.0763672,4.2877224199288255,Hackney,530000.0,575.1
247,Ansa Vintage,"95 Dartmouth Rd, London",51.4361212,-0.0550615,5.0,Lewisham,394720.0,574.9
248,the never not,"Arch 118, Unit 22 Station Passage, London",51.4747305,-0.0569701,4.2877224199288255,Southwark,520000.0,631.9
249,Farr & Wyde,"Heron House, Dartmouth Rd, London",51.4383379,-0.054395,3.0,Lewisham,394720.0,574.9
250,SixQD,"720b, 722b Old Kent Rd, London",51.4808333,-0.0604725999999999,4.2877224199288255,Southwark,520000.0,631.9
251,Wild Horses,"95 Dartmouth Rd, London",51.43615150000001,-0.0550376999999999,5.0,Lewisham,394720.0,574.9
252,Vintique London,"Unit 13 Station Passage, Queen's Rd, London",51.4755117,-0.0562533999999999,4.9,Southwark,520000.0,631.9
253,HOP Market - Studio,"60 Honor Oak Park, London",51.4495133,-0.0440055,4.3,Lewisham,394720.0,574.9
254,Wizard Boo,"83a Roman Rd, London",51.5283907,-0.0500158,4.2877224199288255,Tower Hamlets,475000.0,680.3
255,Nordic Poetry,"141 Bethnal Grn Rd, London",51.5252734,-0.0710946,4.6,Tower Hamlets,475000.0,680.3
256,Kin Store London,"131 Brick Ln, London",51.52373,-0.0715621,3.7,Tower Hamlets,475000.0,680.3
257,WAI VI KI . LTD,"1 Owen St, London",51.5310287,-0.1049576,4.2877224199288255,Islington,625000.0,665.6
258,Vintage Vinyl Brick Lane,"85 Brick Ln, London",51.520781,-0.0719501,4.6,Tower Hamlets,475000.0,680.3
259,Klasik Vintage Eyewear,"Old Spitalfields Market, Brushfield St, London",51.5196657,-0.0754451999999999,5.0,Tower Hamlets,475000.0,680.3
260,Two Columbia Road,"2 Columbia Rd, London",51.5279872,-0.0760122999999999,4.6,Tower Hamlets,475000.0,680.3
261,The Vintage Furniture Flea,"5-15 Old Ford Road Greater, London",51.5296196,-0.0552587,5.0,Tower Hamlets,475000.0,680.3
262,Preloved by Melina,"36 Amhurst Rd, London",51.5481259,-0.0568493999999999,5.0,Hackney,530000.0,575.1
263,Somewhere in Hackney Vintage,"394 Mentmore Terrace, London",51.5411437,-0.0577,5.0,Hackney,530000.0,575.1
264,Gold Dust Vintage,"343 - 344 Beck Rd, London",51.5372201,-0.0581609,5.0,Hackney,530000.0,575.1
265,Retrouvé vintage,"23 Broadway Market, London",51.5362818,-0.0620898,5.0,Hackney,530000.0,575.1
266,Retrouvé vintage,"e8 1bg, 61 Wilton Way, London",51.5456744,-0.0615726,4.5,Hackney,530000.0,575.1
267,Frankie Lou Vintage,"12-20 Rosina St, London",51.54757499999999,-0.0455728,4.2877224199288255,Hackney,530000.0,575.1
268,REFASHED I Vintage & Second-Hand Clothes,"13 Mentmore Terrace, London",51.54109889999999,-0.0573418,5.0,Hackney,530000.0,575.1
269,Rekindled,"212 Well St, London",51.5443061,-0.046649,5.0,Hackney,530000.0,575.1
270,House of Vintage Broadway Market,"2b Ada St, London",51.5358132,-0.0617732999999999,5.0,Hackney,530000.0,575.1
271,Retold Vintage,"Stephen House, 1 Darnley Rd, London",51.5437886,-0.0543839999999999,5.0,Hackney,530000.0,575.1
272,The Pattern,"167 Mare St, London",51.5399792,-0.0560996,5.0,Hackney,530000.0,575.1
273,Paper Dress Vintage,"352a Mare St, London",51.547349,-0.0547017999999999,4.6,Hackney,530000.0,575.1
274,The Square Circle,"499-505 Hackney Rd, London",51.5325133,-0.0583845,4.2877224199288255,Tower Hamlets,475000.0,680.3
275,Proper Old Ltd,"173 Dalston Ln, London",51.5493156,-0.0607471999999999,4.5,Hackney,530000.0,575.1
276,Ooh La La,"147 Holloway Rd, London",51.5493584,-0.1083678,5.0,Islington,625000.0,665.6
277,Sjcartier Ltd,"L1335, Capital House, 61 Amhurst Rd, London",51.5490181,-0.0593875,5.0,Hackney,530000.0,575.1
278,After Noah,"121-122 Upper St, London",51.5386128,-0.1024292,4.6,Islington,625000.0,665.6
279,H. J. Aris Antique and Cafe Bistro,"11 Dalston Ln, London",51.5463179,-0.0744648,4.4,Hackney,530000.0,575.1
280,Traid Dalston,"106-108 Kingsland High St, London",51.5491916,-0.0751442,4.3,Hackney,530000.0,575.1
281,Rag N Bone,"140 Deptford High St, London",51.4790854,-0.025972,3.8,Lewisham,394720.0,574.9
282,Antiques,"Tanner's, 117 Tanner's Hill, London",51.4714515,-0.0294043,5.0,Lewisham,394720.0,574.9
283,Hanks & Wells,"Bromley Rd, London",51.4354895,-0.0197382,4.2877224199288255,Lewisham,394720.0,574.9
284,Nude Lagoon,"205 Deptford High St, London",51.4807141,-0.0264337,4.7,Lewisham,394720.0,574.9
285,Black-Heath Antique,"308-310, Lewisham High St, London",51.4570677,-0.0141999,3.8,Lewisham,394720.0,574.9
286,Mad Vintage Mile End,"Ark 452 huddart street , AKA, Ackroyd Dr, London",51.51979009999999,-0.0283664,4.6,Tower Hamlets,475000.0,680.3
287,London Antique And Collectable,"90 Paul St, London",51.525636,-0.0836866,4.9,Hackney,530000.0,575.1
288,Beyond Retro Cheshire Street,"110-112, Cheshire St, London",51.5238167,-0.0669396,4.7,Tower Hamlets,475000.0,680.3
289,Klasik Bow,"443A Roman Rd, London",51.5319097,-0.0354282,4.8,Tower Hamlets,475000.0,680.3
290,Gina's Closet London,"371 Roman Rd, London",51.53133630000001,-0.0383543,3.6,Tower Hamlets,475000.0,680.3
291,WatchWorks Vintage Watches & Repair,"Old Spitalfields Market, London",51.5194561,-0.0747737,4.2877224199288255,Tower Hamlets,475000.0,680.3
293,Archiva Luxury,"Archiva, 178A Brick Ln, London",51.52304119999999,-0.0713688,5.0,Tower Hamlets,475000.0,680.3
294,Mason & Painter,"67 Columbia Rd, London",51.5293921,-0.0694417,4.8,Tower Hamlets,475000.0,680.3
295,East End Vintage Clothing,"11B Chapman Rd, London",51.5431201,-0.0277344,3.6,Hackney,530000.0,575.1
296,Getup Yesterday,"Unit 4, echo building, easy, E Bay Ln, London",51.5446935,-0.0213241,5.0,Hackney,530000.0,575.1
297,Vintage Threads,"Unit 3 Trafalgar Mews, London",51.5464767,-0.0302903,4.6,Hackney,530000.0,575.1
298,FLAOS Antiques & Vintage,"117 Wallis Rd, London",51.54470269999999,-0.0235367,5.0,Hackney,530000.0,575.1
299,Go East Vintage,"258 Church Rd, London",51.5696051,-0.0242234,3.0,Waltham Forest,430000.0,624.7
300,Suits Ya,"Peanut Factory, 56 Dace Rd, London",51.5377111,-0.0231008,5.0,Tower Hamlets,475000.0,680.3
301,British Heart Foundation,"184 Balham High Rd, London",51.44399670000001,-0.1525531,4.0,Wandsworth,640000.0,746.7
302,Embrace S W Charity Boutique,"29 Queenstown Rd, London",51.46734619999999,-0.1507597,4.1,Wandsworth,640000.0,746.7
303,Fara Charity Shop - Battersea,"254 Battersea Park Rd, London",51.4721114,-0.1661202,4.6,Wandsworth,640000.0,746.7
304,Oxfam,"4 Replingham Rd, London",51.4446786,-0.2061251,4.0,Wandsworth,640000.0,746.7
305,Wandsworth Oasis,"61 Balham High Rd, London",51.4461518,-0.1495703,4.6,Wandsworth,640000.0,746.7
306,Oxfam,"717-719 Fulham Rd., London",51.4768947,-0.2021345,4.2,Hammersmith and Fulham,740000.0,714.5
307,"British Red Cross shop, Wandsworth","11-12 Bramlands Cl, London",51.4661645,-0.1697389,3.8,Wandsworth,640000.0,746.7
308,Mary's Living & Giving Shop for Save the Children - Wandsworth Town,"531 Old York Rd, London",51.45991600000001,-0.1888067,4.7,Wandsworth,640000.0,746.7
309,Fara Charity Shop - Earlsfield,"551 Garratt Lane, London",51.4409499,-0.1868158,4.6,Wandsworth,640000.0,746.7
310,Fara Charity Shop - Balham,"27 Bedford Hill, London",51.444457,-0.1505599,4.3,Wandsworth,640000.0,746.7
311,Fara Charity Shop - New Kings Road,"297 New Kings Rd, London",51.4721293,-0.2030166,5.0,Hammersmith and Fulham,740000.0,714.5
312,Oxfam,"535 Garratt Lane, London",51.4413841,-0.1871029,4.3,Wandsworth,640000.0,746.7
313,British Heart Foundation,"64 St John's Rd, London",51.4619599,-0.1677556,3.6,Wandsworth,640000.0,746.7
314,Fara Charity Shop - Southfields,"261 Wimbledon Park Rd, London",51.4443141,-0.2069059,4.8,Wandsworth,640000.0,746.7
315,RSPCA Charity Shop - Wandsworth,"141, 143 Wandsworth High St, London",51.4572587,-0.1958099,4.7,Wandsworth,640000.0,746.7
316,Fara Charity Shop - Clapham,"70 Chatham Rd, London",51.45489240000001,-0.164332,4.2,Wandsworth,640000.0,746.7
317,Cancer Research UK,"83 St John's Rd, London",51.4611573,-0.1670608,3.8,Wandsworth,640000.0,746.7
318,Cancer Research UK,"168 Balham High Rd, London",51.4445066,-0.1521127,3.2,Wandsworth,640000.0,746.7
319,Royal Trinity Hospice - Clapham Junction Shop,"73 St John's Rd, London",51.4613923,-0.1671984,3.3,Wandsworth,640000.0,746.7
320,Fara,"261 Wimbledon Park Rd, London",51.4443042,-0.206877,3.7,Wandsworth,640000.0,746.7
321,Royal Trinity Hospice - Balham Shop,"107 Balham High Rd, London",51.4453462,-0.1508785,4.3,Wandsworth,640000.0,746.7
322,Royal Trinity Hospice - Fulham Shop,"785 Fulham Rd., London",51.4762365,-0.2045147,4.3,Hammersmith and Fulham,740000.0,714.5
323,Royal Trinity Hospice,"40 Northcote Rd, London",51.4594217,-0.1665687,4.1,Wandsworth,640000.0,746.7
324,Paws Charity Shop,"67 Trinity Rd, London",51.4369442,-0.1616661,4.1,Wandsworth,640000.0,746.7
325,"Earlsfield Charity Shop - RSPCA Wimbledon, Wandsworth & Sutton Branch","549 Garratt Lane, London",51.4410357,-0.1868487,3.8,Wandsworth,640000.0,746.7
326,Wandsworth Oasis: 308 Battersea Park Rd,"308-310 Battersea Park Rd, London",51.4714265,-0.1686376,4.4,Wandsworth,640000.0,746.7
327,Fara Kids Charity Shop - Southfields,"273 Wimbledon Park Rd, London",51.4440149,-0.2071944,4.0,Wandsworth,640000.0,746.7
328,Age UK Wandsworth,"549 Old York Rd, London",51.45956229999999,-0.1895844,4.6,Wandsworth,640000.0,746.7
329,Oxfam Bookshop,"166 Balham High Rd, London",51.4445634,-0.1520632,4.5,Wandsworth,640000.0,746.7
330,Fara Kids Charity Shop - Clapham,"144 Northcote Rd, London",51.455441,-0.1648882,4.4,Wandsworth,640000.0,746.7
331,British Heart Foundation Furniture & Electrical,"153-155 Wandsworth High St, London",51.4571599,-0.1961151,3.5,Wandsworth,640000.0,746.7
332,Wandsworth Oasis: Garratt Lane,"138 Garratt Lane, London",51.4499754,-0.1899471,4.2,Wandsworth,640000.0,746.7
333,Wandsworth Oasis: 553 Battersea Park Rd,"553 Battersea Park Rd, London",51.4714943,-0.1677502,5.0,Wandsworth,640000.0,746.7
334,Fara Kids Charity Shop - Earlsfield Kids,"589 Garratt Lane, London",51.4393924,-0.1866607,4.4,Wandsworth,640000.0,746.7
335,Fara Charity Shop - Fulham,"674 Fulham Rd., London",51.4753589,-0.2062914,4.5,Hammersmith and Fulham,740000.0,714.5
336,Fara Kids Charity Shop - Balham,"15 Hildreth St, London",51.4445172,-0.1509644,4.4,Wandsworth,640000.0,746.7
337,Fara Kids Charity Shop - Fulham,"614 Fulham Rd., London",51.4768413,-0.2034187,4.4,Hammersmith and Fulham,740000.0,714.5
338,Wandsworth Oasis: Tooting Bec,"40-42 Trinity Rd, London",51.43656319999999,-0.1609548,4.2,Wandsworth,640000.0,746.7
339,Wandsworth Oasis,"45 Old Town, London",51.4640518,-0.1409584,4.6,Lambeth,510000.0,673.6
340,British Heart Foundation,"65 High Street, London",51.4639299,-0.2153382,2.7,Wandsworth,640000.0,746.7
341,Boutique by Shelter,"31 The Pavement, London",51.463092,-0.1406652,4.9,Lambeth,510000.0,673.6
342,Charity Clothes Donations - TRAID,"203A St John's Hill, London",51.4599542,-0.1786837,4.2877224199288255,Wandsworth,640000.0,746.7
343,Oxfam,"149 Putney High St, London",51.4617848,-0.2165098,3.1,Wandsworth,640000.0,746.7
344,Cancer Research UK,"127 Putney High St, London",51.4622567,-0.2162834,2.8,Wandsworth,640000.0,746.7
345,Charity Shop,London,51.4478038,-0.1489311,4.2877224199288255,Wandsworth,640000.0,746.7
346,British Heart Foundation,"338 North End Rd, London",51.4819185,-0.2000438,3.4,Hammersmith and Fulham,740000.0,714.5
347,Charity Shop - Fulham Broadway | Little Lives UK,"433 North End Rd, London",51.4819861,-0.1996177,4.8,Hammersmith and Fulham,740000.0,714.5
348,Royal Trinity Hospice - Putney Shop,"147 Putney High St, London",51.4618241,-0.2164898,3.8,Wandsworth,640000.0,746.7
349,Cancer Research UK,"350 North End Rd, London",51.4817066,-0.1996706,4.3,Hammersmith and Fulham,740000.0,714.5
350,Consigned Sealed Delivered (CSD),"Unit 101, Avro House, 7 Havelock Terrace, London",51.477519,-0.143853,5.0,Wandsworth,640000.0,746.7
351,Mary's Living & Giving Shop,"206 Fulham Rd., London",51.4857866,-0.1814296,3.6,Kensington and Chelsea,1200000.0,767.0
352,Oxfam,"145 Earls Ct Rd, London",51.4932217,-0.1942135,4.7,Kensington and Chelsea,1200000.0,767.0
353,Oxfam,"432 King's Rd, London",51.48319009999999,-0.1775092,3.3,Kensington and Chelsea,1200000.0,767.0
354,Fara Charity Shop - Kensington,"26 Gloucester Rd, London",51.4989357,-0.1838286,4.3,Kensington and Chelsea,1200000.0,767.0
355,Oxfam Boutique,"123A King's Rd, London",51.48828,-0.1660417,4.0,Kensington and Chelsea,1200000.0,767.0
356,Oxfam,"5 Gloucester Rd, London",51.4990739,-0.1835605,4.1,Kensington and Chelsea,1200000.0,767.0
357,Fara Charity Shop - North End Road,"341 North End Rd, London",51.48479709999999,-0.2019024,4.9,Hammersmith and Fulham,740000.0,714.5
358,Cancer Research UK,"219 Kensington High St, London",51.499435,-0.1968877,3.6,Kensington and Chelsea,1200000.0,767.0
359,Shelter Charity Shop (Fulham),"385 North End Rd, London",51.4835168,-0.2008725,3.8,Hammersmith and Fulham,740000.0,714.5
360,Oxfam Shop - Kensington High Street,"202b Kensington High St, London",51.499707,-0.197388,4.1,Kensington and Chelsea,1200000.0,767.0
361,Cancer Research UK,"393 King's Rd, London",51.4830366,-0.1771967,2.8,Kensington and Chelsea,1200000.0,767.0
362,"British Red Cross shop, Chelsea","69-71 Old Church St, London",51.4853518,-0.1729428,2.8,Kensington and Chelsea,1200000.0,767.0
363,Fara London,"341 North End Rd, London",51.4847913,-0.2018974,4.9,Hammersmith and Fulham,740000.0,714.5
364,Octavia Foundation,"211 Brompton Rd, London",51.4973998,-0.1674381,4.5,Kensington and Chelsea,1200000.0,767.0
365,Octavia Foundation - Kensington,"266 Kensington High St, London",51.4986536,-0.2007047,3.2,Kensington and Chelsea,1200000.0,767.0
366,Royal Trinity Hospice - Gloucester Road Shop,"28 Gloucester Rd, London",51.4988824,-0.1838295,4.7,Kensington and Chelsea,1200000.0,767.0
367,Octavia Foundation Kings Road,"303 King's Rd, London",51.4847472,-0.1749041,3.9,Kensington and Chelsea,1200000.0,767.0
368,Royal Trinity Hospice - Chelsea Shop,"389 King's Rd, London",51.4831264,-0.177073,3.9,Kensington and Chelsea,1200000.0,767.0
369,Royal Trinity Hospice - North End Road Shop,"304-306 North End Rd, London",51.4830786,-0.20081,4.0,Hammersmith and Fulham,740000.0,714.5
370,Royal Trinity Hospice - Kensington,"27 Kensington Church St, London",51.5034117,-0.1918981,4.0,Kensington and Chelsea,1200000.0,767.0
371,Royal Trinity Hospice - Earl's Court shop,"202 Earls Ct Rd, London",51.4926245,-0.1939989,5.0,Kensington and Chelsea,1200000.0,767.0
372,Octavia Foundation,"58 Wilton Rd, London",51.4933489,-0.1410801,4.1,Westminster,1070000.0,771.6
373,Octavia Foundation,"3 Bute St, London",51.4933602,-0.1761563,3.5,Kensington and Chelsea,1200000.0,767.0
374,Sue Ryder,"37 Warwick Way, London",51.4921984,-0.1403124,4.7,Westminster,1070000.0,771.6
375,Hospices of Hope - Pimlico,"40 Warwick Way, London",51.4919702,-0.1404995,4.1,Westminster,1070000.0,771.6
376,Fara Charity Shop - Pimlico,"13A Warwick Way, London",51.4925305,-0.139252,4.4,Westminster,1070000.0,771.6
377,Royal Trinity Hospice - Pimlico Shop,"85 Wilton Rd, London",51.4923322,-0.1401701,3.4,Westminster,1070000.0,771.6
378,Fara Kids Charity Shop - Pimlico,"40 Tachbrook St, London",51.4921587,-0.1388654,4.4,Westminster,1070000.0,771.6
379,Battersea United Charities,"Battersea Library, 265 Lavender Hill, London",51.4640851,-0.164196,4.2877224199288255,Wandsworth,640000.0,746.7
380,Boutique - Terrence Higgins Trust Charity Shop,"19 Churton St, London",51.4916397,-0.1386189,4.8,Westminster,1070000.0,771.6
381,Barnardo's,"7 George St, London",51.5178363,-0.1521546,3.9,Westminster,1070000.0,771.6
382,Cancer Research UK,"24 Marylebone High St, London",51.5196759,-0.1515771,3.6,Westminster,1070000.0,771.6
383,Oxfam,"240 Edgware Rd, London",51.5190524,-0.1684731,4.1,Westminster,1070000.0,771.6
384,Cancer Research UK,"183 Portobello Rd, London",51.51530630000001,-0.2047575,4.8,Kensington and Chelsea,1200000.0,767.0
385,Fara Charity Shop - Notting Hill,"10 Elgin Cres, London",51.5150959,-0.205102,4.3,Kensington and Chelsea,1200000.0,767.0
386,Age UK Westminster,"522 Harrow Rd, London",51.52524769999999,-0.203398,4.1,Westminster,1070000.0,771.6
387,Mary's Living & Giving Shop For Save the Children - Portobello Road,"7 Elgin Cres, London",51.5149657,-0.2048496,4.0,Kensington and Chelsea,1200000.0,767.0
388,"British Red Cross shop, Portobello Rd","164 Portobello Rd, London",51.51537159999999,-0.2044877,4.2,Kensington and Chelsea,1200000.0,767.0
389,Boutique by Shelter,"31 Clifton Rd, London",51.5252475,-0.1797166,4.3,Westminster,1070000.0,771.6
390,Oxfam,"144 Notting Hill Gate, London",51.5088006,-0.1995225,3.7,Kensington and Chelsea,1200000.0,767.0
391,All Aboard Shops Ltd,"12 Spring St, London",51.5147142,-0.1758501,3.9,Westminster,1070000.0,771.6
392,Oxfam Boutique - Westbourne Grove,"245 Westbourne Grove, London",51.51398340000001,-0.2011268,4.5,Kensington and Chelsea,1200000.0,767.0
393,Royal Trinity Hospice - Queensway Shop,"158 Queensway, London",51.5150368,-0.1878995,3.7,Westminster,1070000.0,771.6
394,Traid,"61 Westbourne Grove, London",51.5154237,-0.1910018,3.7,Westminster,1070000.0,771.6
395,Royal Trinity Hospice - Notting Hill,"20 Notting Hill Gate, London",51.50971630000001,-0.1937035,3.5,Kensington and Chelsea,1200000.0,767.0
396,Mary's Living & Giving Shop for Save the Children - Little Venice,"11 Clifton Rd, London",51.5256573,-0.1789834,4.9,Westminster,1070000.0,771.6
397,Vision Foundation - Portobello Road,"235 Portobello Rd, London",51.5170322,-0.2061205,5.0,Kensington and Chelsea,1200000.0,767.0
398,Oxfam,"91 Marylebone High St, London",51.5200217,-0.1519255,4.2,Westminster,1070000.0,771.6
399,Royal Trinity Hospice - Portobello Road,"216 Portobello Rd, London",51.516887,-0.205604,4.6,Kensington and Chelsea,1200000.0,767.0
400,Fara Kids Charity Shop - Notting Hill,"39 Ledbury Rd, London",51.51361850000001,-0.199023,4.2,Kensington and Chelsea,1200000.0,767.0
401,Westway Charity Hub,"Thorpe Cl, London",51.5180646,-0.2090678,4.2877224199288255,Kensington and Chelsea,1200000.0,767.0
402,Mind,"178 Queensway, London",51.515518,-0.1880271,5.0,Westminster,1070000.0,771.6
403,Mfce Learning Store,"3 Mozart St, London",51.5286798,-0.2046942,4.2877224199288255,Westminster,1070000.0,771.6
404,Oxfam Bookshop,"170 Portobello Rd, London",51.5155342,-0.2045758,4.7,Kensington and Chelsea,1200000.0,767.0
405,Human Relief Foundation,"437 Harrow Rd, London",51.5264304,-0.2077999,3.6,Kensington and Chelsea,1200000.0,767.0
406,Consigned Sealed Delivered (CSD) | Marylebone Lane Store,"70-72 Marylebone Ln, London",51.5165902,-0.1503821,4.3,Westminster,1070000.0,771.6
407,Mind,"8 Ganton St, London",51.5133746,-0.1383464,5.0,Westminster,1070000.0,771.6
408,British Heart Foundation,"6 Harben Parade, Finchley Rd, London",51.5446935,-0.1764832,4.5,Camden,717500.0,694.2
409,Oxfam - St John's Wood,"61 St John's Wood High St, London",51.5335941,-0.170972,3.7,Westminster,1070000.0,771.6
410,Oxfam - Kilburn,"181-183 Kilburn High Rd, London",51.54127099999999,-0.1973596,3.4,Brent,450000.0,553.1
411,British Heart Foundation,"233 Kentish Town Rd, London",51.5479144,-0.1416239,4.0,Camden,717500.0,694.2
412,FARA Charity Shop - Belsize Park,"204 Haverstock Hill, London",51.550934,-0.165011,3.9,Camden,717500.0,694.2
413,Oxfam,"246 W End Ln, London",51.5512594,-0.1914747,3.5,Camden,717500.0,694.2
414,British Heart Foundation,"93 Kilburn High Rd, London",51.5379944,-0.1939394,4.2,Brent,450000.0,553.1
415,Scope,"214 W End Ln, London",51.5504869,-0.1910735,3.5,Camden,717500.0,694.2
416,Cancer Research UK,"187 Kilburn High Rd, London",51.5414019,-0.1975251,4.6,Brent,450000.0,553.1
417,Cancer Research UK,"53 St John's Wood High St, London",51.5334309,-0.1707745,4.1,Westminster,1070000.0,771.6
418,Kilburn PDSA Charity Shop,"198 Kilburn High Rd, London",51.5413522,-0.1971155,4.2,Brent,450000.0,553.1
419,All Aboard Shops Ltd,"224 W End Ln, London",51.5507637,-0.1912866,4.7,Camden,717500.0,694.2
420,Age UK London,"247 Kentish Town Rd, London",51.5482749,-0.1413752,4.0,Camden,717500.0,694.2
421,Boutique by Shelter (St. Johns Wood),"84 St John's Wood High St, London",51.5329311,-0.1697944,3.5,Westminster,1070000.0,771.6
422,Oxfam Shop Kentish Town,"160 Kentish Town Rd, London",51.5468605,-0.1414953,4.3,Camden,717500.0,694.2
423,Marie Curie Charity Shop Belsize Park,"169 Haverstock Hill, London",51.54994500000001,-0.1644777,2.6,Camden,717500.0,694.2
424,Kentish Town PDSA Charity Shop,"249 Kentish Town Rd, London",51.5483281,-0.1413576,3.4,Camden,717500.0,694.2
425,Traid - Kilburn,"70-72 Kilburn High Rd, London",51.5382161,-0.1934752,4.2,Brent,450000.0,553.1
426,Boutique by Shelter,"173 Finchley Rd, London",51.5456223,-0.1784767,4.6,Camden,717500.0,694.2
427,Mary's Living & Giving Shop for Save the Children - Primrose Hill,"109 Regent's Park Rd, London",51.54218720000001,-0.1562429,4.5,Camden,717500.0,694.2
428,All Aboard Charity Shops,"Finchley Rd, London",51.548314,-0.180594,4.4,Camden,717500.0,694.2
429,Cancer Research UK,"Queens Court, 234 W End Ln, London",51.5509534,-0.1913159,3.0,Camden,717500.0,694.2
430,Blustons - Octavia Foundation Kentish Town Road,"213-215, 213 Kentish Town Rd, London",51.5473802,-0.1416739,4.2,Camden,717500.0,694.2
431,"Shop from Crisis, Kilburn","134 Kilburn High Rd, London",51.54003669999999,-0.1954566,4.2877224199288255,Camden,717500.0,694.2
432,Ps Charity Shop,"63A Salusbury Rd, London",51.53501869999999,-0.20473,5.0,Brent,450000.0,553.1
433,Fara Kids Charity Shop - Primrose Hill,"83 Regent's Park Rd, London",51.5414421,-0.157253,3.6,Camden,717500.0,694.2
434,Peaceful Solutions,"63 Salusbury Rd, London",51.535027,-0.2046534,3.9,Brent,450000.0,553.1
435,St John's Hospice Charity Shop,"86 St John's Wood High St, London",51.5329774,-0.1698405,3.1,Westminster,1070000.0,771.6
436,"Shop from Crisis, Camden","22-24 Parkway, London",51.5386817,-0.1438936,5.0,Camden,717500.0,694.2
437,Cats Protection - Cricklewood Charity Shop,"70 Cricklewood Broadway, London",51.5541484,-0.2121454,5.0,Camden,717500.0,694.2
438,Oxfam Books & Music,"166 Kentish Town Rd, London",51.5469898,-0.1414659,4.7,Camden,717500.0,694.2
439,Octavia Foundation Hampstead,"33 S End Rd, London",51.5549356,-0.1661452,3.1,Camden,717500.0,694.2
440,Octavia Foundation Finchley,"179 Finchley Rd, London",51.5457873,-0.1787798,5.0,Camden,717500.0,694.2
441,Save The Nile,"Gloucester Ave., London",51.5398811,-0.150383,4.2877224199288255,Camden,717500.0,694.2
442,All aboard,"117a Cricklewood Broadway, London",51.5552799,-0.2137971,5.0,Brent,450000.0,553.1
443,Oxfam Shop Camden,"89 Camden High St, London",51.5366239,-0.1407265,3.2,Camden,717500.0,694.2
444,Mary's Living & Giving Shop for Save the Children - Hampstead Village,"64 Hampstead High St, Oriel Pl, London",51.55611829999999,-0.1779453,4.3,Camden,717500.0,694.2
445,Harington Charity Shop,"270 Archway Rd, London",51.5751429,-0.1424006,4.3,Haringey,487500.0,542.6
446,Oxfam Shop Highgate,"80 Highgate High St, London",51.5710068,-0.1485484,4.6,Camden,717500.0,694.2
447,Oxfam,"1049 Finchley Rd, London",51.58001609999999,-0.1984695,3.5,Barnet,482951.0,574.9
448,B and H Charity Shop,"129 Cricklewood Broadway, London",51.555556,-0.214096,5.0,Barnet,482951.0,574.9
449,Marie Curie Charity Shop Golders Green,"54 Golders Green Rd, London",51.5726127,-0.1982268,3.5,Barnet,482951.0,574.9
450,North London Hospice Shop,"41 Golders Green Rd, London",51.57210689999999,-0.1974603,4.3,Barnet,482951.0,574.9
